Real-time data - subject to revision
Copyright Environment Canada(2022)

"Real-Time Hydrometric Data for SAINT JOHN RIVER AT FREDERICTON (01AK003) [NB]"

01AK003,"SAINT JOHN RIVER AT FREDERICTON"
Description of parameters:
46,"Water level (primary sensor)",m

Date (AST),Parameter ,Value (m),Approval Name,Grade Name
2022-04-11 00:00:00,46,3.857,REVIEWED,UNSPECIFIED
2022-04-11 00:05:00,46,3.860,REVIEWED,UNSPECIFIED
2022-04-11 00:10:00,46,3.861,REVIEWED,UNSPECIFIED
2022-04-11 00:15:00,46,3.861,REVIEWED,UNSPECIFIED
2022-04-11 00:20:00,46,3.861,REVIEWED,UNSPECIFIED
2022-04-11 00:25:00,46,3.859,REVIEWED,UNSPECIFIED
2022-04-11 00:30:00,46,3.861,REVIEWED,UNSPECIFIED
2022-04-11 00:35:00,46,3.862,REVIEWED,UNSPECIFIED
2022-04-11 00:40:00,46,3.859,REVIEWED,UNSPECIFIED
2022-04-11 00:45:00,46,3.858,REVIEWED,UNSPECIFIED
2022-04-11 00:50:00,46,3.859,REVIEWED,UNSPECIFIED
2022-04-11 00:55:00,46,3.859,REVIEWED,UNSPECIFIED
2022-04-11 00:56:01,46,3.859,REVIEWED,UNSPECIFIED
2022-04-11 01:00:00,46,3.860,REVIEWED,UNSPECIFIED
2022-04-11 01:05:00,46,3.861,REVIEWED,UNSPECIFIED
2022-04-11 01:10:00,46,3.858,REVIEWED,UNSPECIFIED
2022-04-11 01:15:00,46,3.856,REVIEWED,UNSPECIFIED
2022-04-11 01:20:00,46,3.856,REVIEWED,UNSPECIFIED
2022-04-11 01:25:00,46,3.855,REVIEWED,UNSPECIFIED
2022-04-11 01:30:00,46,3.851,REVIEWED,UNSPECIFIED
2022-04-11 01:35:00,46,3.850,REVIEWED,UNSPECIFIED
2022-04-11 01:40:00,46,3.854,REVIEWED,UNSPECIFIED
2022-04-11 01:45:00,46,3.854,REVIEWED,UNSPECIFIED
2022-04-11 01:50:00,46,3.854,REVIEWED,UNSPECIFIED
2022-04-11 01:55:00,46,3.856,REVIEWED,UNSPECIFIED
2022-04-11 01:56:03,46,3.856,REVIEWED,UNSPECIFIED
2022-04-11 02:00:00,46,3.858,REVIEWED,UNSPECIFIED
2022-04-11 02:05:00,46,3.860,REVIEWED,UNSPECIFIED
2022-04-11 02:10:00,46,3.862,REVIEWED,UNSPECIFIED
2022-04-11 02:15:00,46,3.863,REVIEWED,UNSPECIFIED
2022-04-11 02:20:00,46,3.866,REVIEWED,UNSPECIFIED
2022-04-11 02:25:00,46,3.864,REVIEWED,UNSPECIFIED
2022-04-11 02:30:00,46,3.866,REVIEWED,UNSPECIFIED
2022-04-11 02:35:00,46,3.868,REVIEWED,UNSPECIFIED
2022-04-11 02:40:00,46,3.870,REVIEWED,UNSPECIFIED
2022-04-11 02:45:00,46,3.869,REVIEWED,UNSPECIFIED
2022-04-11 02:50:00,46,3.869,REVIEWED,UNSPECIFIED
2022-04-11 02:55:00,46,3.870,REVIEWED,UNSPECIFIED
2022-04-11 02:56:00,46,3.869,REVIEWED,UNSPECIFIED
2022-04-11 03:00:00,46,3.870,REVIEWED,UNSPECIFIED
2022-04-11 03:05:00,46,3.869,REVIEWED,UNSPECIFIED
2022-04-11 03:10:00,46,3.869,REVIEWED,UNSPECIFIED
2022-04-11 03:15:00,46,3.869,REVIEWED,UNSPECIFIED
2022-04-11 03:20:00,46,3.868,REVIEWED,UNSPECIFIED
2022-04-11 03:25:00,46,3.869,REVIEWED,UNSPECIFIED
2022-04-11 03:30:00,46,3.869,REVIEWED,UNSPECIFIED
2022-04-11 03:35:00,46,3.872,REVIEWED,UNSPECIFIED
2022-04-11 03:40:00,46,3.872,REVIEWED,UNSPECIFIED
