Real-time data - subject to revision
Copyright Environment Canada(2022)

"Real-Time Hydrometric Data for SAINT JOHN RIVER AT MAUGERVILLE (01AO002) [NB]"

01AO002,"SAINT JOHN RIVER AT MAUGERVILLE"
Description of parameters:
46,"Water level (primary sensor)",m

Date (AST),Parameter ,Value (m),Approval Name,Grade Name
2022-04-11 00:00:00,46,3.389,PRELIMINARY,UNSPECIFIED
2022-04-11 00:05:00,46,3.391,PRELIMINARY,UNSPECIFIED
2022-04-11 00:10:00,46,3.389,PRELIMINARY,UNSPECIFIED
2022-04-11 00:15:00,46,3.393,PRELIMINARY,UNSPECIFIED
2022-04-11 00:20:00,46,3.392,PRELIMINARY,UNSPECIFIED
2022-04-11 00:25:00,46,3.394,PRELIMINARY,UNSPECIFIED
2022-04-11 00:30:00,46,3.395,PRELIMINARY,UNSPECIFIED
2022-04-11 00:35:00,46,3.396,PRELIMINARY,UNSPECIFIED
2022-04-11 00:40:00,46,3.395,PRELIMINARY,UNSPECIFIED
2022-04-11 00:45:00,46,3.397,PRELIMINARY,UNSPECIFIED
2022-04-11 00:50:00,46,3.397,PRELIMINARY,UNSPECIFIED
2022-04-11 00:55:00,46,3.399,PRELIMINARY,UNSPECIFIED
2022-04-11 01:00:00,46,3.399,PRELIMINARY,UNSPECIFIED
2022-04-11 01:05:00,46,3.398,PRELIMINARY,UNSPECIFIED
2022-04-11 01:10:00,46,3.402,PRELIMINARY,UNSPECIFIED
2022-04-11 01:15:00,46,3.400,PRELIMINARY,UNSPECIFIED
2022-04-11 01:20:00,46,3.401,PRELIMINARY,UNSPECIFIED
2022-04-11 01:25:00,46,3.401,PRELIMINARY,UNSPECIFIED
2022-04-11 01:30:00,46,3.400,PRELIMINARY,UNSPECIFIED
2022-04-11 01:35:00,46,3.403,PRELIMINARY,UNSPECIFIED
2022-04-11 01:40:00,46,3.402,PRELIMINARY,UNSPECIFIED
2022-04-11 01:45:00,46,3.403,PRELIMINARY,UNSPECIFIED
2022-04-11 01:50:00,46,3.402,PRELIMINARY,UNSPECIFIED
2022-04-11 01:55:00,46,3.402,PRELIMINARY,UNSPECIFIED
2022-04-11 02:00:00,46,3.402,PRELIMINARY,UNSPECIFIED
2022-04-11 02:05:00,46,3.402,PRELIMINARY,UNSPECIFIED
2022-04-11 02:10:00,46,3.400,PRELIMINARY,UNSPECIFIED
2022-04-11 02:15:00,46,3.399,PRELIMINARY,UNSPECIFIED
2022-04-11 02:20:00,46,3.399,PRELIMINARY,UNSPECIFIED
2022-04-11 02:25:00,46,3.400,PRELIMINARY,UNSPECIFIED
2022-04-11 02:30:00,46,3.402,PRELIMINARY,UNSPECIFIED
2022-04-11 02:35:00,46,3.402,PRELIMINARY,UNSPECIFIED
2022-04-11 02:40:00,46,3.402,PRELIMINARY,UNSPECIFIED
2022-04-11 02:45:00,46,3.403,PRELIMINARY,UNSPECIFIED
2022-04-11 02:50:00,46,3.404,PRELIMINARY,UNSPECIFIED
2022-04-11 02:55:00,46,3.404,PRELIMINARY,UNSPECIFIED
2022-04-11 03:00:00,46,3.405,PRELIMINARY,UNSPECIFIED
2022-04-11 03:05:00,46,3.406,PRELIMINARY,UNSPECIFIED
2022-04-11 03:10:00,46,3.406,PRELIMINARY,UNSPECIFIED
2022-04-11 03:15:00,46,3.409,PRELIMINARY,UNSPECIFIED
2022-04-11 03:20:00,46,3.408,PRELIMINARY,UNSPECIFIED
2022-04-11 03:25:00,46,3.407,PRELIMINARY,UNSPECIFIED
2022-04-11 03:30:00,46,3.408,PRELIMINARY,UNSPECIFIED
2022-04-11 03:35:00,46,3.408,PRELIMINARY,UNSPECIFIED
2022-04-11 03:40:00,46,3.408,PRELIMINARY,UNSPECIFIED
