Real-time data - subject to revision
Copyright Environment Canada(2022)

"Real-Time Hydrometric Data for SAINT JOHN RIVER AT GAGETOWN (01AO012) [NB]"

01AO012,"SAINT JOHN RIVER AT GAGETOWN"
Description of parameters:
46,"Water level (primary sensor)",m

Date (AST),Parameter ,Value (m),Approval Name,Grade Name
2022-04-11 00:00:00,46,2.727,PRELIMINARY,UNSPECIFIED
2022-04-11 00:05:00,46,2.727,PRELIMINARY,UNSPECIFIED
2022-04-11 00:10:00,46,2.729,PRELIMINARY,UNSPECIFIED
2022-04-11 00:15:00,46,2.726,PRELIMINARY,UNSPECIFIED
2022-04-11 00:20:00,46,2.724,PRELIMINARY,UNSPECIFIED
2022-04-11 00:25:00,46,2.723,PRELIMINARY,UNSPECIFIED
2022-04-11 00:30:00,46,2.722,PRELIMINARY,UNSPECIFIED
2022-04-11 00:35:00,46,2.722,PRELIMINARY,UNSPECIFIED
2022-04-11 00:40:00,46,2.723,PRELIMINARY,UNSPECIFIED
2022-04-11 00:45:00,46,2.722,PRELIMINARY,UNSPECIFIED
2022-04-11 00:50:00,46,2.725,PRELIMINARY,UNSPECIFIED
2022-04-11 00:55:00,46,2.721,PRELIMINARY,UNSPECIFIED
2022-04-11 01:00:00,46,2.724,PRELIMINARY,UNSPECIFIED
2022-04-11 01:05:00,46,2.720,PRELIMINARY,UNSPECIFIED
2022-04-11 01:10:00,46,2.722,PRELIMINARY,UNSPECIFIED
2022-04-11 01:15:00,46,2.720,PRELIMINARY,UNSPECIFIED
2022-04-11 01:20:00,46,2.721,PRELIMINARY,UNSPECIFIED
2022-04-11 01:25:00,46,2.716,PRELIMINARY,UNSPECIFIED
2022-04-11 01:30:00,46,2.715,PRELIMINARY,UNSPECIFIED
2022-04-11 01:35:00,46,2.717,PRELIMINARY,UNSPECIFIED
2022-04-11 01:40:00,46,2.715,PRELIMINARY,UNSPECIFIED
2022-04-11 01:45:00,46,2.713,PRELIMINARY,UNSPECIFIED
2022-04-11 01:50:00,46,2.718,PRELIMINARY,UNSPECIFIED
2022-04-11 01:55:00,46,2.717,PRELIMINARY,UNSPECIFIED
2022-04-11 02:00:00,46,2.717,PRELIMINARY,UNSPECIFIED
2022-04-11 02:05:00,46,2.716,PRELIMINARY,UNSPECIFIED
2022-04-11 02:10:00,46,2.714,PRELIMINARY,UNSPECIFIED
2022-04-11 02:15:00,46,2.718,PRELIMINARY,UNSPECIFIED
2022-04-11 02:20:00,46,2.714,PRELIMINARY,UNSPECIFIED
2022-04-11 02:25:00,46,2.713,PRELIMINARY,UNSPECIFIED
2022-04-11 02:30:00,46,2.712,PRELIMINARY,UNSPECIFIED
2022-04-11 02:35:00,46,2.711,PRELIMINARY,UNSPECIFIED
2022-04-11 02:40:00,46,2.711,PRELIMINARY,UNSPECIFIED
2022-04-11 02:45:00,46,2.711,PRELIMINARY,UNSPECIFIED
2022-04-11 02:50:00,46,2.710,PRELIMINARY,UNSPECIFIED
