Real-time data - subject to revision
Copyright Environment Canada(2022)

"Real-Time Hydrometric Data for SAINT JOHN RIVER AT SAINT JOHN (01AP005) [NB]"

01AP005,"SAINT JOHN RIVER AT SAINT JOHN"
Description of parameters:
46,"Water level (primary sensor)",m

Date (AST),Parameter ,Value (m),Approval Name,Grade Name
2022-04-11 00:01:00,46,2.164,PRELIMINARY,UNSPECIFIED
2022-04-11 00:06:00,46,2.160,PRELIMINARY,UNSPECIFIED
2022-04-11 00:11:00,46,2.151,PRELIMINARY,UNSPECIFIED
2022-04-11 00:16:00,46,2.150,PRELIMINARY,UNSPECIFIED
2022-04-11 00:21:00,46,2.150,PRELIMINARY,UNSPECIFIED
2022-04-11 00:26:00,46,2.146,PRELIMINARY,UNSPECIFIED
2022-04-11 00:31:00,46,2.135,PRELIMINARY,UNSPECIFIED
2022-04-11 00:36:00,46,2.135,PRELIMINARY,UNSPECIFIED
2022-04-11 00:41:00,46,2.132,PRELIMINARY,UNSPECIFIED
2022-04-11 00:46:00,46,2.132,PRELIMINARY,UNSPECIFIED
2022-04-11 00:51:00,46,2.130,PRELIMINARY,UNSPECIFIED
2022-04-11 00:56:00,46,2.123,PRELIMINARY,UNSPECIFIED
2022-04-11 01:01:00,46,2.121,PRELIMINARY,UNSPECIFIED
2022-04-11 01:06:00,46,2.113,PRELIMINARY,UNSPECIFIED
2022-04-11 01:11:00,46,2.114,PRELIMINARY,UNSPECIFIED
2022-04-11 01:16:00,46,2.109,PRELIMINARY,UNSPECIFIED
2022-04-11 01:21:00,46,2.102,PRELIMINARY,UNSPECIFIED
2022-04-11 01:26:00,46,2.095,PRELIMINARY,UNSPECIFIED
2022-04-11 01:31:00,46,2.093,PRELIMINARY,UNSPECIFIED
2022-04-11 01:36:00,46,2.100,PRELIMINARY,UNSPECIFIED
2022-04-11 01:41:00,46,2.095,PRELIMINARY,UNSPECIFIED
2022-04-11 01:46:00,46,2.092,PRELIMINARY,UNSPECIFIED
2022-04-11 01:51:00,46,2.094,PRELIMINARY,UNSPECIFIED
2022-04-11 01:56:00,46,2.092,PRELIMINARY,UNSPECIFIED
2022-04-11 02:01:00,46,2.091,PRELIMINARY,UNSPECIFIED
2022-04-11 02:06:00,46,2.088,PRELIMINARY,UNSPECIFIED
2022-04-11 02:11:00,46,2.091,PRELIMINARY,UNSPECIFIED
2022-04-11 02:16:00,46,2.088,PRELIMINARY,UNSPECIFIED
2022-04-11 02:21:00,46,2.082,PRELIMINARY,UNSPECIFIED
2022-04-11 02:26:00,46,2.078,PRELIMINARY,UNSPECIFIED
2022-04-11 02:31:00,46,2.078,PRELIMINARY,UNSPECIFIED
2022-04-11 02:36:00,46,2.078,PRELIMINARY,UNSPECIFIED
2022-04-11 02:41:00,46,2.078,PRELIMINARY,UNSPECIFIED
2022-04-11 02:46:00,46,2.076,PRELIMINARY,UNSPECIFIED
2022-04-11 02:51:00,46,2.079,PRELIMINARY,UNSPECIFIED
2022-04-11 02:56:00,46,2.076,PRELIMINARY,UNSPECIFIED
2022-04-11 03:01:00,46,2.081,PRELIMINARY,UNSPECIFIED
2022-04-11 03:06:00,46,2.075,PRELIMINARY,UNSPECIFIED
2022-04-11 03:11:00,46,2.081,PRELIMINARY,UNSPECIFIED
2022-04-11 03:16:00,46,2.078,PRELIMINARY,UNSPECIFIED
2022-04-11 03:21:00,46,2.084,PRELIMINARY,UNSPECIFIED
2022-04-11 03:26:00,46,2.079,PRELIMINARY,UNSPECIFIED
2022-04-11 03:31:00,46,2.076,PRELIMINARY,UNSPECIFIED
2022-04-11 03:36:00,46,2.076,PRELIMINARY,UNSPECIFIED
